"Buurten";"Aantal inwoners per 1-1|2023";"0 t/m 4 jaar|2023";"5 t/m 14 jaar|2023";"15 t/m 19 jaar|2023";"20 t/m 44 jaar|2023";"45 t/m 64 jaar|2023";"65 t/m 79 jaar|2023";"80 jaar en ouder|2023";"% Nederlands|2023";"% Turks|2023";"% Marokkaans|2023";"% Surinaams|2023";"% Antilliaans|2023";"% Overig niet-westers|2023";"% Westers|2023"
"88 Morgenstond-West";7988;535;1014;410;2957;1932;868;272;27,0;21,8;9,6;15,1;2,1;12,0;12,4
"89 Morgenstond-Oost";6136;449;607;237;2595;1469;611;168;28,3;13,4;10,4;10,5;4,3;18,8;14,2
"90 Ockenburgh";1303;27;134;76;274;459;307;26;68,7;0,7;"x";2,6;1,1;8,9;17,7
"91 Kijkduin";1730;36;146;62;311;469;508;198;73,2;1,1;0,5;1,0;0,4;6,2;17,6
"92 Bohemen/Meer en Bos";4531;140;259;152;977;1195;1202;606;69,9;0,8;0,2;1,8;0,6;6,2;20,4
"93 Componistenbuurt";1842;52;140;75;376;529;474;196;68,4;0,4;"x";1,7;0,9;6,2;22,2
"94 Waldeck-Noord";3131;55;122;50;581;641;981;701;68,8;1,1;0,4;2,4;1,0;8,7;17,6
"95 Kom Loosduinen";5042;181;405;194;1401;1252;1040;569;68,1;1,7;2,4;4,3;1,7;6,6;15,2
"96 Zijden/Steden/Zichten";7785;520;991;442;2848;1946;832;206;22,7;23,1;13,0;8,0;3,1;15,0;15,1
"97 Kraayenstein & Vroondaal";8996;621;1294;530;2826;2488;994;243;65,6;3,0;1,6;4,3;1,2;8,1;16,0
"98 Dreven en Gaarden";11097;733;1498;717;3849;2577;1176;547;22,0;17,8;13,8;11,7;4,5;15,2;15,1
"99 De Uithof";1838;87;207;118;373;490;354;209;64,4;7,0;2,1;5,7;0,5;7,1;13,2
"100 Duindorp";5809;284;752;314;1823;1664;803;169;79,0;0,6;0,6;0,9;0,8;4,5;13,6
"101 Erasmus Veld";3267;193;382;180;1056;860;349;247;43,4;14,6;7,1;13,5;1,9;8,8;10,7
"102 Hoge Veld";9195;597;1727;699;3047;2327;586;212;45,9;13,4;8,4;11,9;1,2;9,4;9,9
"103 Parkbuurt Oosteinde";3450;134;408;274;889;1241;439;65;59,3;4,1;2,0;9,8;1,4;9,7;13,7
"104 Lage Veld";4202;220;502;295;1128;1365;596;96;45,6;10,1;10,6;11,3;2,2;9,8;10,3
"105 Zonne Veld";3393;215;419;290;1053;1142;251;23;47,2;11,7;7,0;13,6;1,8;9,9;8,7
"106 Vlietzoom-West";182;10;23;9;40;60;35;5;83,5;"x";"x";"x";"x";3,3;8,2
"107 Vliegeniersbuurt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"108 Bosweide";1964;74;260;230;383;784;196;37;59,7;1,4;"x";3,3;1,1;10,2;24,1
"109 Tedingerbroek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"110 De Reef";688;68;102;40;351;95;29;"x";24,1;14,4;4,7;18,9;3,5;23,1;11,3
"111 De Venen";1798;138;302;94;743;400;109;12;41,3;7,3;5,8;14,3;2,7;15,9;12,8
"112 Morgenweide";7140;413;1016;587;2303;2167;570;84;48,1;5,5;5,8;10,5;2,5;14,5;13,1
"113 Singels";5504;273;698;420;1625;1814;580;94;50,0;4,0;2,7;12,3;2,1;14,6;14,4
"114 Waterbuurt";4721;236;633;399;1538;1471;384;60;50,7;5,5;4,6;11,9;2,7;11,5;13,2
"115 De Bras";5706;222;967;680;1332;2158;308;39;67,0;3,0;3,3;6,0;1,2;7,0;12,4
"116 Vlietzoom-Oost";102;"x";6;"x";24;33;29;5;75,5;"x";"x";"x";"x";"x";20,6
"117 De Rivieren";24;"x";"x";"x";5;13;"x";"x";100,0;"x";"x";"x";"x";"x";"x"
"118 De Lanen";5368;272;973;500;1655;1657;276;35;49,6;4,2;4,2;11,6;2,9;16,0;11,5
"119 De Velden";4162;145;528;344;1148;1427;491;79;55,0;4,0;4,6;10,3;1,1;14,6;10,4
"120 De Vissen";8346;350;998;704;2077;2929;998;290;58,3;2,6;4,0;11,5;1,7;10,7;11,2
"121 Rietbuurt";2758;145;660;184;873;742;137;17;47,7;4,6;7,7;10,8;1,9;15,4;11,8
