Buurten,Aantal inwoners per 1-1|2023,0 t/m 4 jaar|2023,5 t/m 14 jaar|2023,15 t/m 19 jaar|2023,20 t/m 44 jaar|2023,45 t/m 64 jaar|2023,65 t/m 79 jaar|2023,80 jaar en ouder|2023,% Nederlands|2023,% Turks|2023,% Marokkaans|2023,% Surinaams|2023,% Antilliaans|2023,% Overig niet-westers|2023,% Westers|2023
69 Burgen en Horsten,6696.0,326.0,604.0,242.0,2364.0,1608.0,1062.0,490.0,44.0,2.2,3.9,5.2,2.9,20.8,20.9
70 Oostduinen,,,,,,,,,,,,,,,
71 Belgisch Park,8383.0,359.0,864.0,625.0,2448.0,2338.0,1344.0,405.0,61.8,0.8,0.6,2.0,1.1,9.5,24.2
72 Rijslag,1743.0,69.0,157.0,88.0,534.0,433.0,253.0,209.0,64.9,1.1,0.7,2.2,1.4,6.8,22.8
73 Westbroekpark,1079.0,23.0,93.0,54.0,141.0,221.0,339.0,208.0,64.6,0.5,,0.8,0.7,7.0,26.0
74 Duttendel,1183.0,52.0,138.0,83.0,208.0,307.0,241.0,154.0,65.0,,,,1.3,7.8,25.4
75 Uilennest,2330.0,107.0,247.0,100.0,641.0,647.0,378.0,210.0,53.4,0.8,0.6,1.2,0.7,12.1,31.2
76 Duinzigt,2609.0,71.0,153.0,99.0,435.0,503.0,700.0,648.0,61.5,0.6,0.2,0.7,0.7,8.1,28.2
77 Waalsdorp,4103.0,216.0,691.0,291.0,916.0,1159.0,614.0,216.0,60.2,0.6,0.2,0.5,0.9,8.7,29.0
78 Arendsdorp,1973.0,83.0,273.0,97.0,523.0,491.0,316.0,190.0,47.9,0.6,0.3,0.8,0.5,12.7,37.3
79 v Hoytemastraat eo,2443.0,149.0,342.0,150.0,699.0,700.0,309.0,94.0,56.6,0.6,,0.5,0.7,9.0,32.6
80 Morgenstond-Zuid,6563.0,471.0,759.0,306.0,2762.0,1642.0,490.0,133.0,19.7,15.4,10.6,9.9,4.2,18.2,22.0
81 Bosjes van Pex,380.0,11.0,28.0,25.0,78.0,141.0,78.0,19.0,68.7,,,2.1,,7.1,21.1
82 Rosenburg,3400.0,118.0,210.0,106.0,1017.0,768.0,842.0,339.0,63.6,0.9,1.5,5.1,2.0,8.0,18.9
83 Eykenduynen,2634.0,156.0,251.0,132.0,879.0,746.0,372.0,98.0,69.8,1.0,0.6,2.4,1.1,5.2,19.9
84 Leyenburg,16749.0,889.0,1472.0,744.0,6768.0,4004.0,2122.0,750.0,52.7,4.5,2.3,6.9,2.4,9.0,22.3
85 Kerketuinen/Zichtenburg,145.0,,,,76.0,61.0,5.0,,33.1,,6.2,11.7,,17.2,26.2
86 Houtwijk,12746.0,579.0,1491.0,766.0,3544.0,3455.0,2343.0,568.0,60.1,4.8,4.4,6.3,1.6,8.9,13.9
87 Venen/Oorden/Raden,8599.0,613.0,1181.0,556.0,3050.0,2111.0,858.0,230.0,20.4,21.0,13.9,9.8,3.5,17.7,13.6
88 Morgenstond-West,7988.0,535.0,1014.0,410.0,2957.0,1932.0,868.0,272.0,27.0,21.8,9.6,15.1,2.1,12.0,12.4
89 Morgenstond-Oost,6136.0,449.0,607.0,237.0,2595.0,1469.0,611.0,168.0,28.3,13.4,10.4,10.5,4.3,18.8,14.2
90 Ockenburgh,1303.0,27.0,134.0,76.0,274.0,459.0,307.0,26.0,68.7,0.7,,2.6,1.1,8.9,17.7
91 Kijkduin,1730.0,36.0,146.0,62.0,311.0,469.0,508.0,198.0,73.2,1.1,0.5,1.0,0.4,6.2,17.6
92 Bohemen/Meer en Bos,4531.0,140.0,259.0,152.0,977.0,1195.0,1202.0,606.0,69.9,0.8,0.2,1.8,0.6,6.2,20.4
93 Componistenbuurt,1842.0,52.0,140.0,75.0,376.0,529.0,474.0,196.0,68.4,0.4,,1.7,0.9,6.2,22.2
94 Waldeck-Noord,3131.0,55.0,122.0,50.0,581.0,641.0,981.0,701.0,68.8,1.1,0.4,2.4,1.0,8.7,17.6
95 Kom Loosduinen,5042.0,181.0,405.0,194.0,1401.0,1252.0,1040.0,569.0,68.1,1.7,2.4,4.3,1.7,6.6,15.2
96 Zijden/Steden/Zichten,7785.0,520.0,991.0,442.0,2848.0,1946.0,832.0,206.0,22.7,23.1,13.0,8.0,3.1,15.0,15.1
97 Kraayenstein & Vroondaal,8996.0,621.0,1294.0,530.0,2826.0,2488.0,994.0,243.0,65.6,3.0,1.6,4.3,1.2,8.1,16.0
