B25077_001E,B02001_002E,B01003_001E,B25003_003E,B25001_001E,B09019_006E,B09019_001E,B15003_002E,B25018_001E,B19083_001E,B01002_001E,B08303_001E,B19013_001E,GEOID
42.7,3955.0,3755.0,1690.0,3955.0,459.0,33.0,106776.0,0.3963,1508.0,442.0,6.1,728400.0,06073017104
37.6,11962.0,9682.0,4515.0,11962.0,1338.0,52.0,102413.0,0.4451,4561.0,859.0,5.9,541700.0,06073019806
44.0,7611.0,6213.0,3446.0,7611.0,967.0,0.0,106331.0,0.4295,3456.0,1095.0,5.7,691800.0,06073020014
42.1,5077.0,4544.0,2406.0,5077.0,626.0,20.0,82176.0,0.3223,1711.0,470.0,5.7,455600.0,06073019702
30.1,5811.0,3135.0,3169.0,5811.0,448.0,0.0,71629.0,0.3986,2902.0,2090.0,3.7,601100.0,06073008364
31.9,3498.0,2927.0,1514.0,3498.0,383.0,56.0,46850.0,0.4666,1258.0,757.0,4.5,515570.89638157893,06073020017
52.6,6745.0,5545.0,3006.0,6745.0,633.0,186.0,52917.0,0.4684,2958.0,681.0,5.5,195800.0,06073020019
45.7,3924.0,3132.0,1651.0,3924.0,539.0,53.0,84722.0,0.479,1599.0,343.0,6.0,697900.0,06073008307
38.9,6571.0,4099.0,3031.0,6571.0,548.0,122.0,68665.0,0.4293,2204.0,757.0,5.2,493200.0,06073008505
33.0,3299.0,2895.0,2092.0,3299.0,189.0,0.0,99335.0,0.441,2622.0,1580.0,3.1,466300.0,06073005800
46.4,4452.0,3188.0,1921.0,4452.0,617.0,11.0,65570.0,0.4198,1867.0,460.0,6.0,510400.0,06073020026
39.8,5263.0,4083.0,1802.0,5263.0,172.0,59.0,54009.0,0.6363,2789.0,2042.0,2.3,801500.0,06073005300
40.6,3970.0,1357.0,1888.0,3970.0,342.0,26.0,102063.0,0.3345,1094.0,378.0,5.4,461000.0,06073008349
33.5,5944.0,4055.0,3030.0,5944.0,565.0,157.0,78211.0,0.4467,2835.0,1152.0,5.1,520800.0,06073009202
34.7,3397.0,2787.0,2040.0,3397.0,336.0,10.0,84321.0,0.3962,1742.0,965.0,4.2,669200.0,06073001400
44.0,2215.0,1575.0,1101.0,2215.0,231.0,14.0,136458.0,0.3009,752.0,83.0,7.1,643400.0,06073008336
27.7,4353.0,2051.0,1589.0,4353.0,537.0,108.0,30845.0,0.5,1123.0,746.0,4.3,309800.0,06073003901
35.0,4714.0,3341.0,2460.0,4714.0,518.0,13.0,87969.0,0.354,2228.0,1132.0,4.6,488800.0,06073009305
34.7,4791.0,3366.0,2043.0,4791.0,544.0,72.0,63553.0,0.396,1907.0,899.0,5.0,401500.0,06073020025
36.8,11815.0,9861.0,4146.0,11815.0,1421.0,16.0,129920.0,0.5052,4092.0,985.0,7.5,1068400.0,06073017110
43.6,4415.0,3203.0,1929.0,4415.0,455.0,37.0,62083.0,0.4447,1558.0,527.0,5.8,381000.0,06073020024
40.0,6031.0,5219.0,2936.0,6031.0,884.0,96.0,104361.0,0.3948,2517.0,648.0,5.0,633700.0,06073004200
27.9,4118.0,2190.0,1758.0,4118.0,580.0,139.0,35989.0,0.3794,1125.0,758.0,4.2,314000.0,06073003603
33.1,5444.0,3401.0,3149.0,5444.0,654.0,10.0,54910.0,0.3863,2869.0,1788.0,3.9,271700.0,06073009603
28.9,7826.0,3995.0,2629.0,7826.0,798.0,463.0,30231.0,0.3857,2325.0,2051.0,3.8,319600.0,06073002302
36.1,4633.0,2077.0,2523.0,4633.0,430.0,80.0,72390.0,0.358,1816.0,1069.0,3.8,279400.0,06073017018
39.2,3693.0,2888.0,1647.0,3693.0,390.0,0.0,73590.0,0.3927,1476.0,652.0,5.0,487400.0,06073009604
27.3,5149.0,4272.0,1984.0,5149.0,787.0,76.0,38250.0,0.3888,1448.0,1184.0,4.0,231300.0,06073010112
35.9,4071.0,2805.0,1955.0,4071.0,350.0,112.0,83750.0,0.346,1242.0,340.0,5.9,376000.0,06073020403
38.3,7516.0,4312.0,3534.0,7516.0,757.0,14.0,101649.0,0.3816,2852.0,1061.0,5.0,547000.0,06073017039
42.5,2753.0,1584.0,1234.0,2753.0,329.0,17.0,150391.0,0.3727,869.0,64.0,7.7,825400.0,06073017045
33.7,5622.0,4550.0,2809.0,5622.0,531.0,129.0,85278.0,0.3093,1312.0,432.0,5.4,351100.0,06073020109
34.9,3620.0,2495.0,1638.0,3620.0,403.0,67.0,92616.0,0.3503,1094.0,178.0,5.8,386300.0,06073003204
34.3,5174.0,3772.0,2395.0,5174.0,433.0,86.0,74364.0,0.3625,1645.0,486.0,5.5,398100.0,06073013301
36.6,5321.0,4054.0,2199.0,5321.0,531.0,148.0,55781.0,0.4403,1580.0,512.0,4.9,329600.0,06073013303
33.8,5141.0,2589.0,2499.0,5141.0,659.0,95.0,64846.0,0.3279,1615.0,473.0,5.4,323200.0,06073003214
32.9,6796.0,4676.0,3031.0,6796.0,786.0,106.0,57734.0,0.3907,2826.0,1913.0,4.2,425100.0,06073015000
45.0,2391.0,2040.0,1107.0,2391.0,325.0,5.0,84643.0,0.3868,908.0,154.0,6.7,599900.0,06073013701
46.5,2206.0,1500.0,963.0,2206.0,199.0,24.0,125859.0,0.324,637.0,68.0,6.9,579400.0,06073013417
39.3,2389.0,1779.0,1113.0,2389.0,299.0,12.0,74425.0,0.3857,899.0,362.0,5.5,490200.0,06073016000
30.0,5353.0,3559.0,2093.0,5353.0,742.0,130.0,36895.0,0.4407,1783.0,1254.0,4.1,316600.0,06073016301
30.8,7157.0,4298.0,2443.0,7157.0,764.0,112.0,37619.0,0.4082,2147.0,1708.0,3.6,17900.0,06073015701
36.9,6836.0,5601.0,2919.0,6836.0,688.0,67.0,83750.0,0.3975,2265.0,858.0,5.7,541100.0,06073013604
48.6,2606.0,2225.0,1149.0,2606.0,253.0,17.0,131071.0,0.4155,923.0,78.0,7.6,685100.0,06073015406
33.0,5991.0,4984.0,2713.0,5991.0,652.0,10.0,56014.0,0.4015,2139.0,991.0,4.6,350700.0,06073020806
45.3,1940.0,1590.0,592.0,1940.0,234.0,5.0,59917.0,0.4043,744.0,154.0,5.5,239200.0,06073019107
51.4,7131.0,6785.0,2887.0,7131.0,806.0,52.0,73452.0,0.4698,2839.0,295.0,5.8,384500.0,06073016802
36.2,7738.0,6048.0,1803.0,7738.0,496.0,42.0,73587.0,0.4413,1546.0,183.0,5.5,499800.0,06073021302
59.4,1909.0,1576.0,624.0,1909.0,287.0,0.0,54866.0,0.3808,1743.0,288.0,4.7,382500.0,06073020904
42.7,7434.0,6374.0,1831.0,7434.0,558.0,149.0,42893.0,0.4683,3187.0,776.0,5.4,237300.0,06073021100
42.3,6514.0,5193.0,3053.0,6514.0,820.0,20.0,83657.0,0.3768,2787.0,1047.0,5.4,747900.0,06073017801
42.6,2558.0,2237.0,1141.0,2558.0,279.0,6.0,90882.0,0.4485,899.0,195.0,6.3,762200.0,06073017809
40.7,2981.0,2702.0,1525.0,2981.0,355.0,0.0,104808.0,0.4811,1481.0,679.0,4.4,924700.0,06073017501
41.0,8551.0,5674.0,3835.0,8551.0,952.0,94.0,78295.0,0.4377,3115.0,1075.0,6.1,472400.0,06073018514
36.6,4021.0,3750.0,1943.0,4021.0,524.0,30.0,101417.0,0.506,2242.0,1087.0,4.4,1391700.0,06073008101
56.3,2709.0,2563.0,1099.0,2709.0,244.0,13.0,78056.0,0.5798,2317.0,1041.0,4.0,1382100.0,06073008200
41.2,5860.0,5394.0,3052.0,5860.0,618.0,27.0,114479.0,0.4983,2757.0,1256.0,4.8,1114800.0,06073017401
35.8,4877.0,3790.0,2286.0,4877.0,479.0,37.0,63938.0,0.3737,1594.0,525.0,5.2,374700.0,06073019406
32.0,7177.0,5037.0,3133.0,7177.0,703.0,71.0,52430.0,0.3457,2394.0,1354.0,4.8,374100.0,06073019701
27.7,3538.0,2859.0,1494.0,3538.0,345.0,46.0,42625.0,0.395,918.0,644.0,4.7,330700.0,06073019501
32.2,2581.0,1695.0,1351.0,2581.0,189.0,0.0,64688.0,0.4332,1556.0,804.0,3.8,355900.0,06073008361
35.5,6509.0,5200.0,2881.0,6509.0,691.0,51.0,48168.0,0.4445,2153.0,937.0,4.9,319800.0,06073019205
56.1,2723.0,2282.0,978.0,2723.0,353.0,0.0,114063.0,0.5315,1304.0,140.0,7.3,1174600.0,06073017306
41.0,13670.0,10007.0,5560.0,13670.0,1667.0,0.0,118333.0,0.4244,4964.0,1006.0,6.4,771600.0,06073020013
43.1,6787.0,5967.0,2725.0,6787.0,578.0,0.0,135526.0,0.4327,2352.0,474.0,7.2,898600.0,06073017109
44.8,2421.0,1874.0,1138.0,2421.0,304.0,9.0,164250.0,0.3337,900.0,165.0,6.5,827200.0,06073008331
27.1,2002.0,1053.0,879.0,2002.0,152.0,0.0,37863.0,0.4797,815.0,706.0,4.0,517900.0,06073008305
27.1,7953.0,3530.0,3302.0,7953.0,292.0,4.0,59447.0,0.5538,3973.0,3075.0,3.5,435200.0,06073008341
30.7,6067.0,5296.0,3801.0,6067.0,571.0,0.0,66091.0,0.4142,2767.0,2062.0,3.9,561200.0,06073007800
31.6,4667.0,4359.0,2801.0,4667.0,447.0,21.0,66212.0,0.4716,3863.0,1777.0,3.7,742600.0,06073007600
22.6,2893.0,1980.0,1414.0,2893.0,7.0,0.0,146250.0,0.283,57.0,33.0,5.3,515570.89638157893,06073011300
40.8,6663.0,3617.0,2503.0,6663.0,825.0,20.0,167689.0,0.4088,2225.0,255.0,7.6,1156000.0,06073008328
38.4,9625.0,7977.0,4192.0,9625.0,1158.0,226.0,56323.0,0.5419,2980.0,1364.0,5.8,543300.0,06073019207
27.9,4566.0,3198.0,2038.0,4566.0,519.0,69.0,52593.0,0.4401,1359.0,874.0,4.7,530500.0,06073009000
40.2,4669.0,4145.0,1935.0,4669.0,420.0,3.0,97222.0,0.484,1988.0,1020.0,5.0,1276200.0,06073011100
42.1,3732.0,3403.0,1610.0,3732.0,484.0,24.0,96728.0,0.4357,1750.0,1113.0,4.1,1256300.0,06073011000
38.2,16449.0,12239.0,6408.0,16449.0,2221.0,94.0,112813.0,0.4068,6110.0,1283.0,6.4,624200.0,06073020027
48.6,4942.0,4626.0,1372.0,4942.0,633.0,0.0,108750.0,0.511,2088.0,272.0,7.9,2000001.0,06073017106
37.2,3143.0,2451.0,2025.0,3143.0,241.0,17.0,60909.0,0.4525,2008.0,1324.0,3.6,454500.0,06073000600
36.2,4230.0,1316.0,2196.0,4230.0,268.0,50.0,74212.0,0.4171,1417.0,699.0,5.3,458300.0,06073008351
23.2,258.0,133.0,50.0,258.0,0.0,0.0,75402.79871175524,0.41074138486312395,0.0,0.0,5.142765273311893,515570.89638157893,06073005500
36.0,8148.0,5931.0,3605.0,8148.0,852.0,28.0,81706.0,0.3906,2581.0,860.0,6.4,563800.0,06073020022
43.1,3152.0,1749.0,1430.0,3152.0,315.0,47.0,149063.0,0.3066,963.0,101.0,7.6,793900.0,06073008365
35.2,5462.0,1420.0,2883.0,5462.0,351.0,145.0,89238.0,0.3405,1544.0,645.0,4.7,372300.0,06073008357
41.8,7384.0,2661.0,4032.0,7384.0,976.0,193.0,83769.0,0.316,2278.0,684.0,5.7,422000.0,06073008358
29.3,4284.0,2343.0,1542.0,4284.0,506.0,176.0,34199.0,0.3447,1391.0,830.0,3.9,342600.0,06073003902
28.2,5166.0,4210.0,2242.0,5166.0,486.0,158.0,36589.0,0.3666,1306.0,895.0,4.2,283300.0,06073004000
34.3,4770.0,2969.0,2512.0,4770.0,420.0,56.0,43585.0,0.4082,2480.0,1859.0,3.3,351300.0,06073001600
